PointsNo,FoundPoints,KD-treeBuildTime,QuadTreeBuildTime,KD-treeQueryTime,QuadTreeQueryTime
50,17,0.1025540828704834,0.0003707408905029297,0.00063323974609375,0.0008358955383300781
100,41,0.0006885528564453125,0.0007214546203613281,0.0002834796905517578,0.00019073486328125
500,196,0.0035331249237060547,0.0038633346557617188,0.0008761882781982422,0.0007791519165039062
1000,410,0.006894826889038086,0.009796619415283203,0.0014066696166992188,0.0015017986297607422
100000,40623,0.9691874980926514,0.9495639801025391,0.03297019004821777,0.13018226623535156
1000000,405720,17.57414698600769,19.54551100730896,0.29647326469421387,1.3885715007781982
