PointsNo,FoundPoints,KD-treeBuildTime,QuadTreeBuildTime,KD-treeQueryTime,QuadTreeQueryTime
50,4,0.1923227310180664,0.00020241737365722656,0.0032253265380859375,0.004839420318603516
100,9,0.0003998279571533203,0.00039124488830566406,0.00013828277587890625,2.7179718017578125e-05
500,36,0.002019643783569336,0.004823923110961914,0.00038242340087890625,8.153915405273438e-05
1000,64,0.004111289978027344,0.0034935474395751953,0.00047588348388671875,0.00011110305786132812
100000,6400,0.5780236721038818,0.6653950214385986,0.009171724319458008,0.013759851455688477
1000000,63001,10.60237741470337,10.356465101242065,0.04211711883544922,0.10189938545227051
