PointsNo,FoundPoints,KD-treeBuildTime,QuadTreeBuildTime,KD-treeQueryTime,QuadTreeQueryTime
50,4,0.2550625801086426,0.0003695487976074219,0.002744913101196289,0.004533529281616211
100,18,0.0005571842193603516,0.0009715557098388672,0.00014829635620117188,9.918212890625e-05
500,76,0.003143310546875,0.004911661148071289,0.0003418922424316406,0.0003688335418701172
1000,145,0.006834268569946289,0.011628866195678711,0.00048232078552246094,0.0006635189056396484
100000,15989,1.0440125465393066,8.127636909484863,0.01265716552734375,0.07605218887329102
1000000,160160,17.634456396102905,31.672172784805298,0.10617780685424805,0.7975184917449951
