50,9,0.1955,0.0003,0.0021,0.0040
100,31,0.0005,0.0006,0.0003,0.0001
500,130,0.0035,0.0032,0.0007,0.0005
1000,279,0.0064,0.0086,0.0012,0.0010
100000,28386,1.09,4.39,0.03,0.09
1000000,284255,17.33,19.93,0.22,0.98
